Dex Number,Name,Generation,Status,Species,Stat Total,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Type,Ability,Hidden Ability,Image
203,Girafarig,2,Normal,Long Neck Pokémon,455,70,80,65,90,65,85,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Inner Focus / Early Bird,Sap Sipper,![/assets/home_images/girafarig.png](/assets/home_images/girafarig.png)
204,Pineco,2,Normal,Bagworm Pokémon,290,50,65,90,35,35,15,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Sturdy,Overcoat,![/assets/home_images/pineco.png](/assets/home_images/pineco.png)
205,Forretress,2,Normal,Bagworm Pokémon,465,75,90,140,60,60,40,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Sturdy,Overcoat,![/assets/home_images/forretress.png](/assets/home_images/forretress.png)
206,Dunsparce,2,Normal,Land Snake Pokémon,415,100,70,70,65,65,45,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Serene Grace / Run Away,Rattled,![/assets/home_images/dunsparce.png](/assets/home_images/dunsparce.png)
207,Gligar,2,Normal,FlyScorpion Pokémon,430,65,75,105,35,65,85,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Hyper Cutter / Sand Veil,Immunity,![/assets/home_images/gligar.png](/assets/home_images/gligar.png)
208,Steelix,2,Normal,Iron Snake Pokémon,510,75,85,200,55,65,30,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Rock Head / Sturdy,Sheer Force,![/assets/home_images/steelix.png](/assets/home_images/steelix.png)
208,Mega Steelix,2,Normal,Iron Snake Pokémon,610,75,125,230,55,95,30,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Force,-,![/assets/home_images/steelix-mega.png](/assets/home_images/steelix-mega.png)
209,Snubbull,2,Normal,Fairy Pokémon,300,60,80,50,40,40,30,![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Intimidate / Run Away,Rattled,![/assets/home_images/snubbull.png](/assets/home_images/snubbull.png)
210,Granbull,2,Normal,Fairy Pokémon,450,90,120,75,60,60,45,![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Intimidate / Quick Feet,Rattled,![/assets/home_images/granbull.png](/assets/home_images/granbull.png)
211,Qwilfish,2,Normal,Balloon Pokémon,440,65,95,85,55,55,85,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Swift Swim,Intimidate,![/assets/home_images/qwilfish.png](/assets/home_images/qwilfish.png)
211,Hisuian Qwilfish,2,Normal,Balloon Pokémon,440,65,95,85,55,55,85,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg)![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Swift Swim,Intimidate,![/assets/home_images/qwilfish-hisuian.png](/assets/home_images/qwilfish-hisuian.png)
212,Scizor,2,Normal,Pincer Pokémon,500,70,130,100,55,80,65,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Swarm / Technician,Light Metal,![/assets/home_images/scizor.png](/assets/home_images/scizor.png)
212,Mega Scizor,2,Normal,Pincer Pokémon,600,70,150,140,65,100,75,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Technician,-,![/assets/home_images/scizor-mega.png](/assets/home_images/scizor-mega.png)
213,Shuckle,2,Normal,Mold Pokémon,505,20,10,230,10,230,5,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Sturdy / Gluttony,Contrary,![/assets/home_images/shuckle.png](/assets/home_images/shuckle.png)
214,Heracross,2,Normal,Single Horn Pokémon,500,80,125,75,40,95,85,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Swarm / Guts,Moxie,![/assets/home_images/heracross.png](/assets/home_images/heracross.png)
214,Mega Heracross,2,Normal,Single Horn Pokémon,600,80,185,115,40,105,75,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Skill Link,-,![/assets/home_images/heracross-mega.png](/assets/home_images/heracross-mega.png)
215,Sneasel,2,Normal,Sharp Claw Pokémon,430,55,95,55,35,75,115,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg),Inner Focus / Keen Eye,Pickpocket,![/assets/home_images/sneasel.png](/assets/home_images/sneasel.png)
215,Hisuian Sneasel,2,Normal,Sharp Claw Pokémon,430,55,95,55,35,75,115,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg)![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Inner Focus / Keen Eye,Poison Touch,![/assets/home_images/sneasel-hisuian.png](/assets/home_images/sneasel-hisuian.png)
216,Teddiursa,2,Normal,Little Bear Pokémon,330,60,80,50,50,50,40,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Quick Feet,Honey Gather,![/assets/home_images/teddiursa.png](/assets/home_images/teddiursa.png)
217,Ursaring,2,Normal,Hibernator Pokémon,500,90,130,75,75,75,55,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Guts / Quick Feet,Unnerve,![/assets/home_images/ursaring.png](/assets/home_images/ursaring.png)
218,Slugma,2,Normal,Lava Pokémon,250,40,40,40,70,40,20,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Magma Armor / Flame Body,Weak Armor,![/assets/home_images/slugma.png](/assets/home_images/slugma.png)
219,Magcargo,2,Normal,Lava Pokémon,430,60,50,120,90,80,30,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Magma Armor / Flame Body,Weak Armor,![/assets/home_images/magcargo.png](/assets/home_images/magcargo.png)
220,Swinub,2,Normal,Pig Pokémon,250,50,50,40,30,30,50,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Oblivious / Snow Cloak,Thick Fat,![/assets/home_images/swinub.png](/assets/home_images/swinub.png)
221,Piloswine,2,Normal,Swine Pokémon,450,100,100,80,60,60,50,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Oblivious / Snow Cloak,Thick Fat,![/assets/home_images/piloswine.png](/assets/home_images/piloswine.png)
222,Corsola,2,Normal,Coral Pokémon,410,65,55,95,65,95,35,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Hustle / Natural Cure,Regenerator,![/assets/home_images/corsola.png](/assets/home_images/corsola.png)
222,Galarian Corsola,2,Normal,Coral Pokémon,410,60,55,100,65,100,30,![/assets/type_icons/Ghost_Type_Icon.svg](/assets/type_icons/Ghost_Type_Icon.svg),Weak Armor,Cursed Body,![/assets/home_images/corsola-galarian.png](/assets/home_images/corsola-galarian.png)
223,Remoraid,2,Normal,Jet Pokémon,300,35,65,35,65,35,65,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Hustle / Sniper,Moody,![/assets/home_images/remoraid.png](/assets/home_images/remoraid.png)
224,Octillery,2,Normal,Jet Pokémon,480,75,105,75,105,75,45,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Suction Cups / Sniper,Moody,![/assets/home_images/octillery.png](/assets/home_images/octillery.png)
225,Delibird,2,Normal,Delivery Pokémon,330,45,55,45,65,45,75,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Vital Spirit / Hustle,Insomnia,![/assets/home_images/delibird.png](/assets/home_images/delibird.png)
226,Mantine,2,Normal,Kite Pokémon,485,85,40,70,80,140,70,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Swift Swim / Water Absorb,Water Veil,![/assets/home_images/mantine.png](/assets/home_images/mantine.png)
227,Skarmory,2,Normal,Armor Bird Pokémon,465,65,80,140,40,70,70,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye / Sturdy,Weak Armor,![/assets/home_images/skarmory.png](/assets/home_images/skarmory.png)
228,Houndour,2,Normal,Dark Pokémon,330,45,60,30,80,50,65,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Early Bird / Flash Fire,Unnerve,![/assets/home_images/houndour.png](/assets/home_images/houndour.png)
229,Houndoom,2,Normal,Dark Pokémon,500,75,90,50,110,80,95,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Early Bird / Flash Fire,Unnerve,![/assets/home_images/houndoom.png](/assets/home_images/houndoom.png)
229,Mega Houndoom,2,Normal,Dark Pokémon,600,75,90,90,140,90,115,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Solar Power,-,![/assets/home_images/houndoom-mega.png](/assets/home_images/houndoom-mega.png)
230,Kingdra,2,Normal,Dragon Pokémon,540,75,95,95,95,95,85,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Swift Swim / Sniper,Damp,![/assets/home_images/kingdra.png](/assets/home_images/kingdra.png)
231,Phanpy,2,Normal,Long Nose Pokémon,330,90,60,60,40,40,40,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Pickup,Sand Veil,![/assets/home_images/phanpy.png](/assets/home_images/phanpy.png)
232,Donphan,2,Normal,Armor Pokémon,500,90,120,120,60,60,50,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sturdy,Sand Veil,![/assets/home_images/donphan.png](/assets/home_images/donphan.png)
233,Porygon2,2,Normal,Virtual Pokémon,515,85,80,90,105,95,60,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Trace / Download,Analytic,![/assets/home_images/porygon2.png](/assets/home_images/porygon2.png)
234,Stantler,2,Normal,Big Horn Pokémon,465,73,95,62,85,65,85,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Intimidate / Frisk,Sap Sipper,![/assets/home_images/stantler.png](/assets/home_images/stantler.png)
235,Smeargle,2,Normal,Painter Pokémon,250,55,20,35,20,45,75,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Own Tempo / Technician,Moody,![/assets/home_images/smeargle.png](/assets/home_images/smeargle.png)
236,Tyrogue,2,Normal,Scuffle Pokémon,210,35,35,35,35,35,35,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Guts / Steadfast,Vital Spirit,![/assets/home_images/tyrogue.png](/assets/home_images/tyrogue.png)
237,Hitmontop,2,Normal,Handstand Pokémon,455,50,95,95,35,110,70,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Intimidate / Technician,Steadfast,![/assets/home_images/hitmontop.png](/assets/home_images/hitmontop.png)
238,Smoochum,2,Normal,Kiss Pokémon,305,45,30,15,85,65,65,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Oblivious / Forewarn,Hydration,![/assets/home_images/smoochum.png](/assets/home_images/smoochum.png)
239,Elekid,2,Normal,Electric Pokémon,360,45,63,37,65,55,95,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Static,Vital Spirit,![/assets/home_images/elekid.png](/assets/home_images/elekid.png)
240,Magby,2,Normal,Live Coal Pokémon,365,45,75,37,70,55,83,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Flame Body,Vital Spirit,![/assets/home_images/magby.png](/assets/home_images/magby.png)
241,Miltank,2,Normal,Milk Cow Pokémon,490,95,80,105,40,70,100,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Thick Fat / Scrappy,Sap Sipper,![/assets/home_images/miltank.png](/assets/home_images/miltank.png)
242,Blissey,2,Normal,Happiness Pokémon,540,255,10,10,75,135,55,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Natural Cure / Serene Grace,Healer,![/assets/home_images/blissey.png](/assets/home_images/blissey.png)
243,Raikou,2,Sub Legendary,Thunder Pokémon,580,90,85,75,115,100,115,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Pressure,Inner Focus,![/assets/home_images/raikou.png](/assets/home_images/raikou.png)
244,Entei,2,Sub Legendary,Volcano Pokémon,580,115,115,85,90,75,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Pressure,Inner Focus,![/assets/home_images/entei.png](/assets/home_images/entei.png)
245,Suicune,2,Sub Legendary,Aurora Pokémon,580,100,75,115,90,115,85,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Pressure,Inner Focus,![/assets/home_images/suicune.png](/assets/home_images/suicune.png)
246,Larvitar,2,Normal,Rock Skin Pokémon,300,50,64,50,45,50,41,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Guts,Sand Veil,![/assets/home_images/larvitar.png](/assets/home_images/larvitar.png)
247,Pupitar,2,Normal,Hard Shell Pokémon,410,70,84,70,65,70,51,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Shed Skin,-,![/assets/home_images/pupitar.png](/assets/home_images/pupitar.png)
248,Tyranitar,2,Normal,Armor Pokémon,600,100,134,110,95,100,61,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Sand Stream,Unnerve,![/assets/home_images/tyranitar.png](/assets/home_images/tyranitar.png)
248,Mega Tyranitar,2,Normal,Armor Pokémon,700,100,164,150,95,120,71,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Sand Stream,-,![/assets/home_images/tyranitar-mega.png](/assets/home_images/tyranitar-mega.png)
249,Lugia,2,Legendary,Diving Pokémon,680,106,90,130,90,154,110,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Pressure,Multiscale,![/assets/home_images/lugia.png](/assets/home_images/lugia.png)
250,Ho-oh,2,Legendary,Rainbow Pokémon,680,106,130,90,110,154,90,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Pressure,Regenerator,![/assets/home_images/ho-oh.png](/assets/home_images/ho-oh.png)
251,Celebi,2,Mythical,Time Travel Pokémon,600,100,100,100,100,100,100,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Natural Cure,-,![/assets/home_images/celebi.png](/assets/home_images/celebi.png)
252,Treecko,3,Normal,Wood Gecko Pokémon,310,40,45,35,65,55,70,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Unburden,![/assets/home_images/treecko.png](/assets/home_images/treecko.png)
253,Grovyle,3,Normal,Wood Gecko Pokémon,405,50,65,45,85,65,95,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Unburden,![/assets/home_images/grovyle.png](/assets/home_images/grovyle.png)
254,Sceptile,3,Normal,Forest Pokémon,530,70,85,65,105,85,120,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Unburden,![/assets/home_images/sceptile.png](/assets/home_images/sceptile.png)
254,Mega Sceptile,3,Normal,Forest Pokémon,630,70,110,75,145,85,145,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Lightning Rod,-,![/assets/home_images/sceptile-mega.png](/assets/home_images/sceptile-mega.png)
255,Torchic,3,Normal,Chick Pokémon,310,45,60,40,70,50,45,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Blaze,Speed Boost,![/assets/home_images/torchic.png](/assets/home_images/torchic.png)
256,Combusken,3,Normal,Young Fowl Pokémon,405,60,85,60,85,60,55,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Blaze,Speed Boost,![/assets/home_images/combusken.png](/assets/home_images/combusken.png)
257,Blaziken,3,Normal,Blaze Pokémon,530,80,120,70,110,70,80,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Blaze,Speed Boost,![/assets/home_images/blaziken.png](/assets/home_images/blaziken.png)
257,Mega Blaziken,3,Normal,Blaze Pokémon,630,80,160,80,130,80,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Speed Boost,-,![/assets/home_images/blaziken-mega.png](/assets/home_images/blaziken-mega.png)
258,Mudkip,3,Normal,Mud Fish Pokémon,310,50,70,50,50,50,40,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Damp,![/assets/home_images/mudkip.png](/assets/home_images/mudkip.png)
259,Marshtomp,3,Normal,Mud Fish Pokémon,405,70,85,70,60,70,50,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Torrent,Damp,![/assets/home_images/marshtomp.png](/assets/home_images/marshtomp.png)
260,Swampert,3,Normal,Mud Fish Pokémon,535,100,110,90,85,90,60,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Torrent,Damp,![/assets/home_images/swampert.png](/assets/home_images/swampert.png)
260,Mega Swampert,3,Normal,Mud Fish Pokémon,635,100,150,110,95,110,70,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Swift Swim,-,![/assets/home_images/swampert-mega.png](/assets/home_images/swampert-mega.png)
261,Poochyena,3,Normal,Bite Pokémon,220,35,55,35,30,30,35,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Run Away / Quick Feet,Rattled,![/assets/home_images/poochyena.png](/assets/home_images/poochyena.png)
262,Mightyena,3,Normal,Bite Pokémon,420,70,90,70,60,60,70,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Intimidate / Quick Feet,Moxie,![/assets/home_images/mightyena.png](/assets/home_images/mightyena.png)
263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,240,38,30,41,30,41,60,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Gluttony,Quick Feet,![/assets/home_images/zigzagoon.png](/assets/home_images/zigzagoon.png)
263,Galarian Zigzagoon,3,Normal,Tiny Raccoon Pokémon,240,38,30,41,30,41,60,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Gluttony,Quick Feet,![/assets/home_images/zigzagoon-galarian.png](/assets/home_images/zigzagoon-galarian.png)
264,Linoone,3,Normal,Rushing Pokémon,420,78,70,61,50,61,100,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Gluttony,Quick Feet,![/assets/home_images/linoone.png](/assets/home_images/linoone.png)
264,Galarian Linoone,3,Normal,Rushing Pokémon,420,78,70,61,50,61,100,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Gluttony,Quick Feet,![/assets/home_images/linoone-galarian.png](/assets/home_images/linoone-galarian.png)
265,Wurmple,3,Normal,Worm Pokémon,195,45,45,35,20,30,20,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Shield Dust,Run Away,![/assets/home_images/wurmple.png](/assets/home_images/wurmple.png)
266,Silcoon,3,Normal,Cocoon Pokémon,205,50,35,55,25,25,15,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Shed Skin,-,![/assets/home_images/silcoon.png](/assets/home_images/silcoon.png)
267,Beautifly,3,Normal,Butterfly Pokémon,395,60,70,50,100,50,65,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Swarm,Rivalry,![/assets/home_images/beautifly.png](/assets/home_images/beautifly.png)
268,Cascoon,3,Normal,Cocoon Pokémon,205,50,35,55,25,25,15,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg),Shed Skin,-,![/assets/home_images/cascoon.png](/assets/home_images/cascoon.png)
269,Dustox,3,Normal,Poison Moth Pokémon,385,60,50,70,50,90,65,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Shield Dust,Compound Eyes,![/assets/home_images/dustox.png](/assets/home_images/dustox.png)
270,Lotad,3,Normal,Water Weed Pokémon,220,40,30,30,40,50,30,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Swift Swim / Rain Dish,Own Tempo,![/assets/home_images/lotad.png](/assets/home_images/lotad.png)
271,Lombre,3,Normal,Jolly Pokémon,340,60,50,50,60,70,50,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Swift Swim / Rain Dish,Own Tempo,![/assets/home_images/lombre.png](/assets/home_images/lombre.png)
272,Ludicolo,3,Normal,Carefree Pokémon,480,80,70,70,90,100,70,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Swift Swim / Rain Dish,Own Tempo,![/assets/home_images/ludicolo.png](/assets/home_images/ludicolo.png)
273,Seedot,3,Normal,Acorn Pokémon,220,40,40,50,30,30,30,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Chlorophyll / Early Bird,Pickpocket,![/assets/home_images/seedot.png](/assets/home_images/seedot.png)
274,Nuzleaf,3,Normal,Wily Pokémon,340,70,70,40,60,40,60,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Chlorophyll / Early Bird,Pickpocket,![/assets/home_images/nuzleaf.png](/assets/home_images/nuzleaf.png)
275,Shiftry,3,Normal,Wicked Pokémon,480,90,100,60,90,60,80,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Chlorophyll / Early Bird,Pickpocket,![/assets/home_images/shiftry.png](/assets/home_images/shiftry.png)
